"REPORT_NR","SUBJECT_DEGREE","SUBJECT_GROUP"
53,"Chemie (Ba 1-F, Ba 2-F, Ma 1-F, M.Ed.)","Mathematik, Naturwissenschaften"
54,"Biologie (Ba 1-F, Ba 2-F, Ma 1-F, M.Ed.)","Mathematik, Naturwissenschaften"
55,"Biodiversität (Ma 1-F)","Mathematik, Naturwissenschaften"
57,"Angewandte Informatik (Ba 1-F, Ma 1-F)","Mathematik, Naturwissenschaften"
58,"IT-Sicherheit / Informationstechnik (Ba 1-F, Ma 1-F), IT-Sicherheit / Netze und Systeme (Ma 1-F)","Mathematik, Naturwissenschaften"
59,"Informatik (Ba 1-F)","Mathematik, Naturwissenschaften"
72,"Mathematik (M.Ed.), Physik (M.Ed.), Geographie (M.Ed.), Chemie (M.Ed.), Biologie (M.Ed.)","Mathematik, Naturwissenschaften"
74,"Alle (Sonderauswertung nach Fächergruppen)","Mathematik, Naturwissenschaften"
20,"Management and Economics (Ba 1-F, Ma 1-F)","Rechts-, Wirtschafts-, Sozialwissenschaften"
21,"Wirtschaftswissenschaft, Ausr. Betriebswirtschaftslehre (Ba 2-F), Wirtschaftswissenschaft, Ausr. Volkswirtschaftslehre (Ba 2-F)","Rechts-, Wirtschafts-, Sozialwissenschaften"
22,"Sales Management (Ma 1-F)","Rechts-, Wirtschafts-, Sozialwissenschaften"
23,"Finance, Accounting, Auditing, Controlling & Taxation (Ma 1-F)","Rechts-, Wirtschafts-, Sozialwissenschaften"
24,"Economic Policy Consulting (Ma 1-F)","Rechts-, Wirtschafts-, Sozialwissenschaften"
25,"European Culture and Economy (ECUE) (Ma 1-F)","Rechts-, Wirtschafts-, Sozialwissenschaften"
26,"Gender Studies - Kultur, Kommunikation, Gesellschaft (Ma 1-F, Ma 2-F), International Gender Studies (Ma 1-F)","Rechts-, Wirtschafts-, Sozialwissenschaften"
27,"Kultur, Individuum und Gesellschaft (Ba 2-F)","Rechts-, Wirtschafts-, Sozialwissenschaften"
28,"Politik, Wirtschaft und Gesellschaft (Ba 2-F)","Rechts-, Wirtschafts-, Sozialwissenschaften"
29,"Sozialwissenschaft (Ba 1-F, Ma 1-F, Ma 2-F, M.Ed.)","Rechts-, Wirtschafts-, Sozialwissenschaften"
61,"International Humanitarian Action (Ma 1-F)","Rechts-, Wirtschafts-, Sozialwissenschaften"
63,"Organizational Management (Ma 1-F)","Rechts-, Wirtschafts-, Sozialwissenschaften"
70,"Rechtswissenschaft (S), Nationales und europäisches Wirtschaftsrecht (Ba 1-F, Ma 1-F)","Rechts-, Wirtschafts-, Sozialwissenschaften"
72,"Sozialwissenschaft (M.Ed.)","Rechts-, Wirtschafts-, Sozialwissenschaften"
74,"Alle (Sonderauswertung nach Fächergruppen)","Rechts-, Wirtschafts-, Sozialwissenschaften"
32,"Sportwissenschaft (Ba 1-F, Ba 2-F, M.Ed.)","Sport"
33,"Sport & Exercise Sciences for Health and Performance (Ma 1-F), Management & Consulting im Sport (Ma 1-F)","Sport"
72,"Sportwissenschaft (M.Ed.)","Sport"
74,"Alle (Sonderauswertung nach Fächergruppen)","Sport"
